_id,Automation Probability,Label,SOC code,Occupation
555,0.91,,359011,Dining Room and Cafeteria Attendants and Bartender Helpers
556,0.91,,514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
557,0.91,,194041,Geological and Petroleum Technicians
558,0.91,,493021,Automotive Body and Related Repairers
559,0.91,,517032,"Patternmakers, Wood"
560,0.91,,514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
561,0.92,,439071,"Office Machine Operators, Except Computer"
562,0.92,,292052,Pharmacy Technicians
563,0.92,,434131,Loan Interviewers and Clerks
564,0.92,,537031,Dredge Operators
565,0.92,,413021,Insurance Sales Agents
566,0.92,,517011,Cabinetmakers and Bench Carpenters
567,0.92,,519123,"Painting, Coating, and Decorating Workers"
568,0.92,,474031,Fence Erectors
569,0.92,,514193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
570,0.92,,412031,Retail Salespersons
571,0.92,,353021,"Combined Food Preparation and Serving Workers, Including Fast Food"
572,0.92,,519399,"Production Workers, All Other"
573,0.92,,473012,HelpersCarpenters
574,0.93,,519193,Cooling and Freezing Equipment Operators and Tenders
575,0.93,,512091,Fiberglass Laminators and Fabricators
576,0.93,,475013,"Service Unit Operators, Oil, Gas, and Mining"
577,0.93,,537011,Conveyor Operators and Tenders
578,0.93,,493053,Outdoor Power Equipment and Other Small Engine Mechanics
579,0.93,,534012,Locomotive Firers
580,0.93,,537063,Machine Feeders and Offbearers
581,0.93,,514061,"Model Makers, Metal and Plastic"
582,0.93,,492021,"Radio, Cellular, and Tower Equipment Installers and Repairs"
583,0.93,,513021,Butchers and Meat Cutters
584,0.93,,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
585,0.93,,537081,Refuse and Recyclable Material Collectors
586,0.93,1,132081,"Tax Examiners and Collectors, and Revenue Agents"
587,0.93,,514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
588,0.93,1,537051,Industrial Truck and Tractor Operators
589,0.94,1,132011,Accountants and Auditors
590,0.94,,514032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
591,0.94,,439051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
592,0.94,0,353031,Waiters and Waitresses
593,0.94,,513022,"Meat, Poultry, and Fish Cutters and Trimmers"
594,0.94,,132031,Budget Analysts
595,0.94,,472051,Cement Masons and Concrete Finishers
596,0.94,,493091,Bicycle Repairers
597,0.94,,499091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
598,0.94,,514121,"Welders, Cutters, Solderers, and Brazers"
599,0.94,1,435021,Couriers and Messengers
600,0.94,,434111,"Interviewers, Except Eligibility and Loan"
601,0.94,,352015,"Cooks, Short Order"
602,0.94,,537032,Excavating and Loading Machine and Dragline Operators
603,0.94,,473014,"HelpersPainters, Paperhangers, Plasterers, and Stucco Masons"
604,0.94,,434081,"Hotel, Motel, and Resort Desk Clerks"
605,0.94,,519197,Tire Builders
606,0.94,,419091,"DoortoDoor Sales Workers, News and Street Vendors, and Related Workers"
607,0.94,,371011,FirstLine Supervisors of Housekeeping and Janitorial Workers
608,0.94,,452011,Agricultural Inspectors
609,0.94,1,232011,Paralegals and Legal Assistants
610,0.95,,395092,Manicurists and Pedicurists
611,0.95,,435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
612,0.95,,516062,"Textile Cutting Machine Setters, Operators, and Tenders"
613,0.95,,433011,Bill and Account Collectors
614,0.95,,518011,Nuclear Power Reactor Operators
615,0.95,,339031,Gaming Surveillance Officers and Gaming Investigators
616,0.95,,434121,"Library Assistants, Clerical"
617,0.95,,472073,Operating Engineers and Other Construction Equipment Operators
618,0.95,,515113,Print Binding and Finishing Workers
619,0.95,,452021,Animal Breeders
620,0.95,,514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
621,0.95,1,512022,Electrical and Electronic Equipment Assemblers
622,0.95,,519191,Adhesive Bonding Machine Operators and Tenders
623,0.95,,373011,Landscaping and Groundskeeping Workers
624,0.95,,514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
625,0.95,,435051,Postal Service Clerks
626,0.95,,519071,Jewelers and Precious Stone and Metal Workers
627,0.96,,435032,"Dispatchers, Except Police, Fire, and Ambulance"
628,0.96,,434171,Receptionists and Information Clerks
629,0.96,,439061,"Office Clerks, General"
630,0.96,,113111,Compensation and Benefits Managers
631,0.96,1,432011,"Switchboard Operators, Including Answering Service"
632,0.96,,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
633,0.96,,475051,"Rock Splitters, Quarry"
634,0.96,,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
635,0.96,,173031,Surveying and Mapping Technicians
636,0.96,,517031,"Model Makers, Wood"
637,0.96,,516064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
638,0.96,,534011,Locomotive Engineers
639,0.96,1,393011,Gaming Dealers
640,0.96,,499093,"Fabric Menders, Except Garment"
641,0.96,,352014,"Cooks, Restaurant"
642,0.96,,393031,"Ushers, Lobby Attendants, and Ticket Takers"
643,0.96,,433021,Billing and Posting Clerks
644,0.97,,536011,Bridge and Lock Tenders
645,0.97,,517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
646,0.97,,512092,Team Assemblers
647,0.97,,516042,Shoe Machine Operators and Tenders
648,0.97,,512023,Electromechanical Equipment Assemblers
649,0.97,1,131074,Farm Labor Contractors
650,0.97,,516061,Textile Bleaching and Dyeing Machine Operators and Tenders
651,0.97,,519081,Dental Laboratory Technicians
652,0.97,,519021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
653,0.97,,519022,"Grinding and Polishing Workers, Hand"
654,0.97,,373012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
655,0.97,,454023,Log Graders and Scalers
656,0.97,,519083,Ophthalmic Laboratory Technicians
657,0.97,1,412011,Cashiers
658,0.97,,499061,Camera and Photographic Equipment Repairers
659,0.97,,393021,Motion Picture Projectionists
660,0.97,,515111,Prepress Technicians and Workers
661,0.97,,412021,Counter and Rental Clerks
662,0.97,1,434071,File Clerks
663,0.97,,419021,Real Estate Brokers
664,0.97,,432021,Telephone Operators
665,0.97,,194011,Agricultural and Food Science Technicians
666,0.97,,433051,Payroll and Timekeeping Clerks
667,0.97,1,434041,"Credit Authorizers, Checkers, and Clerks"
668,0.97,,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
669,0.98,,419012,Models
670,0.98,,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
671,0.98,,433031,"Bookkeeping, Accounting, and Auditing Clerks"
672,0.98,,436012,Legal Secretaries
673,0.98,,274013,Radio Operators
674,0.98,,533031,Driver/Sales Workers
675,0.98,1,131031,"Claims Adjusters, Examiners, and Investigators"
676,0.98,,412022,Parts Salespersons
677,0.98,1,132041,Credit Analysts
678,0.98,,514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
679,0.98,,435071,"Shipping, Receiving, and Traffic Clerks"
680,0.98,,433061,Procurement Clerks
681,0.98,,519111,Packaging and Filling Machine Operators and Tenders
682,0.98,,519194,Etchers and Engravers
683,0.98,,433071,Tellers
684,0.98,,272023,"Umpires, Referees, and Other Sports Officials"
685,0.98,,131032,"Insurance Appraisers, Auto Damage"
686,0.98,1,132072,Loan Officers
687,0.98,,434151,Order Clerks
688,0.98,,434011,Brokerage Clerks
689,0.98,,439041,Insurance Claims and Policy Processing Clerks
690,0.98,,512093,Timing Device Assemblers and Adjusters
691,0.99,1,439021,Data Entry Keyers
692,0.99,,254031,Library Technicians
693,0.99,,434141,New Accounts Clerks
694,0.99,,519151,Photographic Process Workers and Processing Machine Operators
695,0.99,,132082,Tax Preparers
696,0.99,,435011,Cargo and Freight Agents
697,0.99,,499064,Watch Repairers
698,0.99,1,132053,Insurance Underwriters
699,0.99,,152091,Mathematical Technicians
700,0.99,,516051,"Sewers, Hand"
701,0.99,,232093,"Title Examiners, Abstractors, and Searchers"
702,0.99,,419041,Telemarketers
